data_source_id,data_source_type,author,year,title,link
1,1,Garrity; Megan,2022,Introducing the Government-Sponsored Mass Expulsion Dataset,https://unitednations.sharepoint.com/:b:/r/sites/DESA-POP/DemoData/Data_Computed_Estimates/ForcedMigration/biblio/Garrity_2022_Introducing%20the%20Government-Sponsored%20Mass%20Expulsion%20Dataset%20%5Bfinal_online_appendix_jpr-20-0491%5D.pdf?csf=1&web=1&e=hzpdTG
2,1,Bollinger; Lennart,2023,Fleeing the Wrong Way: Black Angolan Refugees and Apartheid South Africa’s Military Humanitarianism at the Angolan-Namibian Border,https://doi.org/10.1080/07075332.2023.2189283
3,8,Bekker; Gina,2009,Mass expulsion of foreign nationals : a  'special violation of human rights' - Communication 292/2004 Institute for Human Rights and Development in Africa v Republic of Angola,https://journals.co.za/doi/abs/10.10520/EJC52133
4,1,Crawley; Heavan & Esra; Kaytaz,2022,Between a Rock and a Hard Place: Afghan Migration to Europe From Iran,https://doi.org/10.17645/si.v10i3.5234
5,8,Danish Refugee Council,2017,Monthly Migration Movements Afghan Displacement Summary Migration to India October 2017,https://mixedmigration.org/wp-content/uploads/2018/05/ms-asia-1710.pdf
6,8,Amnesty International,2018,Forced to leave stories of injustice against migrants in algeria,https://www.amnesty.org/en/wp-content/uploads/2021/05/MDE2895122018ENGLISH.pdf
7,10,European Council on Refugees and Exiles,2020,New Spike in Mass Expulsion from Algeria to Niger,https://ecre.org/new-spike-in-mass-expulsion-from-algeria-to-niger/
8,10,Human Rights Watch,2020,"Algeria: Migrants, Asylum Seekers Forced Out",https://www.hrw.org/news/2020/10/09/algeria-migrants-asylum-seekers-forced-out
9,8,Info Migrants,2025,"NGO estimates more than 30,000 migrants deported by Algeria to Niger in 2024",https://www.infomigrants.net/en/post/62244/ngo-estimates-more-than-30000-migrants-deported-by-algeria-to-niger-in-2024
10,10,Alarme Phone Sahara,2025,"2024: More than 30,000 people deported from Algeria to Niger",https://alarmephonesahara.info/en/blog/posts/2024-more-than-30-000-people-deported-from-algeria-to-niger
11,10,Reliefweb,2021,Niger: Deportations put migrants’ lives at risk,https://reliefweb.int/report/niger/niger-deportations-put-migrants-lives-risk
12,10,Alarme Phone Sahara,2022,October 2022: Deportations from Algeria to Niger continue - assistance to deportees by Alarme Phone Sahara's tricycle,https://alarmephonesahara.info/en/blog/posts/182
13,10,Naceur; Sofian Philip,2023,"Ruthless, Illegal, and Dangerous",https://www.rosalux.de/en/news/id/50203/ruthless-illegal-and-dangerous
14,10,Ouhemmou; Mohammed,2023,"Tense Neighbors, Algeria and Morocco Have Divergent Migration Histories",https://www.migrationpolicy.org/article/algeria-morocco-migration-history
15,8,United Nations Office for the Coordination of Humanitarian Affairs,2008,"Congolese Expelled from Angola Situation Report No. 3, 21 Aug 2008",https://www.unocha.org/publications/report/angola/congolese-expelled-angola-situation-report-no-3-21-aug-2008
16,8,Reliefweb,2020,"Democratic Republic of Congo – Expulsion of Congolese from Angola (DG ECHO, UN OCHA, DRC authorities) (ECHO Daily Flash of 13 October 2020)",https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-expulsion-congolese-angola-dg-echo-un
17,3,Justice Initiative,2009,4|Mass denationalization and expulsion,https://www.justiceinitiative.org/uploads/f2f92b28-7c70-4f20-9d21-3f76069d7fd6/struggles-ch4_20091009_0.pdf?utm_source=chatgpt.com
18,6,Wadhwa; Tanya,2021,"After years of organizing, Macri’s anti-migrant decree finally repealed in Argentina",https://peoplesdispatch.org/2021/03/08/after-years-of-organizing-macris-anti-migrant-decree-finally-repealed-in-argentina/
19,10,Karabakh Center,unknown,Deportation of Azerbaijanis from the territory of modern-day Armenia in the XX Century,https://story.karabakh.center/en/deportation-of-azerbaijanis-from-the-territory-of-modern-day-armenia
20,8,Scheffer; David J.,2023,Ethnic Cleansing Is Happening in Nagorno-Karabakh. How Can the World Respond?,https://www.cfr.org/article/ethnic-cleansing-happening-nagorno-karabakh-how-can-world-respond
21,3,Veliyev; Cavid,2025,Armenia's confession: Ethnic cleansing of Azerbaijanis and its legacy,https://www.dailysabah.com/opinion/op-ed/armenias-confession-ethnic-cleansing-of-azerbaijanis-and-its-legacy
22,3,Visions of Azerbaijan,2010,Great Tragedy Deportation of Azerbaijanis from Armenia,http://www.visions.az/en/news/233/19b4cf06
23,8,Heintze; Peter & Hilhorst; Dorothea & Dijkzeul; Dennis,2019,Venezuelan refugees on Curaçao: Human right violations in a tropical paradise,https://www.iss.nl/sites/corporate/files/2019-10/research-brief-venezuela-2.pdf
24,3,Eyewitness News,2019,340 Haitian migrants deported post-Dorian,https://ewnews.com/iom-calls-for-govt-to-investigate-migrant-abuse-claims/?fbclid=IwAR0o2QSF0sqj6xwhRPtssb7HV7Oa-o0boog3yDceU12ZHMbpAqy3oF6VmHQ
25,8,Countrystudies,unknown,Foreign Relations,https://countrystudies.us/caribbean-islands/124.htm
