origin_id,origin_name,target_id,target_name,expelled_group,year,mean_estimate,event_type,is_annual_estimate,data_source_id,description,in_unhcr,unhcr_numer,comment,difference_unhcr_mean_estimate
4,Afghanistan,356,India,Hindus; Sikhs,1992,4100,1,,5,expulsion of Hindus and Sikhs,TRUE,14655,,
4,Afghanistan,356,India,Hindus; Sikhs,1993,4100,1,,5,expulsion of Hindus and Sikhs,TRUE,14655,,
4,Afghanistan,356,India,Hindus; Sikhs,1994,4100,1,,5,expulsion of Hindus and Sikhs,TRUE,14655,,
,Afghanistan,,Tajikistan,Tajikis,1994,13250,3,,419,repatriation of Tajikis after escape to Afghanistan,,,,
,Afghanistan,,Tajikistan,Tajikis,1995,13250,3,,419,repatriation of Tajikis after escape to Afghanistan,,,,
12,Algeria,504,Morocco,Moroccans,1960,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1961,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1962,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1963,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1964,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1965,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1966,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1967,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1968,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1969,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1970,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1971,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1972,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1973,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1974,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1975,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1976,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1977,20000,1,,307,,,,,
