origin_id,origin_name,target_id,target_name,expelled_group,year,end_year,lower_bound,mean_estimate,upper_bound,event_type,is_annual_estimate,data_source_id,description,in_unhcr,unhcr_numer,comment,difference_unhcr_mean_estimate
4,Afghanistan,356,India,Hindus; Sikhs,1992,1994,12300,12300,12300,1,,5,expulsion of Hindus and Sikhs,TRUE,14655,,
12,Algeria,504,Morocco,Moroccans,1975,1976,30000,30000,30000,1,,1,expulsion of migrant workers,FALSE,NA,,
12,Algeria,504,Morocco,Moroccans,1975,1975,350000,350000,350000,1,,14,expulsion of migrant workers,FALSE,NA,,
12,Algeria,562,Niger,Nigeriens,2014,2014,1345,1345,1345,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,Nigeriens,2015,2015,5986,5986,5986,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,,various,West Africans,2015,2018,27000,27000,27000,1,,195,expulsion after racial profiling ,,,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2016,2020,67000,67000,67000,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,562,Niger,Nigeriens,2016,2016,9290,9290,9290,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,Nigeriens,2017,2017,6679,6679,6679,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2017,2017,1817,1817,1817,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,466,Mali,sub-Saharan Africans,2017,2017,100,550,1000,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,,various,West Africans,2017,2017,2000,2000,2000,1,,196,expulsion after racial profiling ,,,,
12,Algeria,562,Niger,Nigeriens,2018,2018,12913,12913,12913,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2018,2018,649,649,649,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,466,Mali,sub-Saharan Africans,2018,2018,3000,3000,3000,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2019,2019,25000,25000,25000,1,,7,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2019,2019,29888,29888,29888,1,,11,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2020,2020,16000,16000,16000,1,,8,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2020,2020,23175,23175,23175,1,,11,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2021,2021,27208,27208,27208,1,,12,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2022,2022,19069,19069,19069,1,,12,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2022,2022,36083,36083,36083,1,,13,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2023,2023,26031,26031,26031,1,,9,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2024,2024,30000,30000,30000,1,,9,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2024,2024,31404,31404,31404,1,,10,expulsion of sub-Saharan refugees,,,,
24,Angola,620,Portugal,Portugese,1975,1976,260000,260000,260000,3,,2,post-independece repatriation of white Angolans,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2003,2005,80000,190000,300000,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2003,2007,140000,140000,140000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,324,Guinea,Guineans,2004,2004,126247,126247,126247,1,,3,expulsion of Guineans residents,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2004,2004,80000,80000,80000,1,,70,expulsion of Congolese refugees,,,,
24,Angola,,various,various,2004,2004,126247,126247,126247,1,,3,expulsion of migrants and guest workers,,,,
24,Angola,180,DRC,Congolese (Kinshasa),2008,2009,154000,157000,160000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
